GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABBREVIATION,HOME_WL,SEASON_ID,AWAY_TEAM_ID,AWAY_TEAM_ABBREVIATION,HOME_WIN,HOME_Overall_WinPCT,HOME_Home_WinPCT,AWAY_Overall_WinPCT,AWAY_Away_WinPCT
0022000155,2021-01-11,1610612757,POR,W,22020,1610612761,TOR,1,0.5555555555555556,0.5,0.2222222222222222,0.16666666666666666
0022000156,2021-01-11,1610612758,SAC,W,22020,1610612754,IND,1,0.4,0.5,0.6666666666666666,1.0
0022000150,2021-01-11,1610612739,CLE,L,22020,1610612763,MEM,0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666
0022000157,2021-01-12,1610612755,PHI,W,22020,1610612748,MIA,1,0.6363636363636364,0.8333333333333334,0.5,0.3333333333333333
0022000162,2021-01-12,1610612760,OKC,L,22020,1610612759,SAS,0,0.5555555555555556,0.0,0.5,0.6666666666666666
0022000161,2021-01-12,1610612745,HOU,L,22020,1610612747,LAL,0,0.375,0.6,0.7272727272727273,1.0
0022000159,2021-01-12,1610612739,CLE,L,22020,1610612762,UTA,0,0.45454545454545453,0.5,0.6,0.7142857142857143
0022000158,2021-01-12,1610612751,BKN,W,22020,1610612743,DEN,1,0.45454545454545453,0.5,0.5,0.75
0022000163,2021-01-12,1610612744,GSW,L,22020,1610612754,IND,0,0.6,0.6666666666666666,0.6,0.6666666666666666
0022000165,2021-01-13,1610612765,DET,L,22020,1610612749,MIL,0,0.2,0.3333333333333333,0.6363636363636364,0.4
0022000172,2021-01-13,1610612746,LAC,W,22020,1610612740,NOP,1,0.6363636363636364,0.6,0.4444444444444444,0.5
0022000173,2021-01-13,1610612758,SAC,L,22020,1610612757,POR,0,0.45454545454545453,0.5714285714285714,0.6,0.6
0022000170,2021-01-13,1610612760,OKC,L,22020,1610612747,LAL,0,0.5,0.0,0.75,1.0
0022000169,2021-01-13,1610612750,MIN,L,22020,1610612763,MEM,0,0.3,0.4,0.4,0.75
0022000164,2021-01-13,1610612766,CHA,L,22020,1610612742,DAL,0,0.5454545454545454,0.6,0.5555555555555556,0.5
0022000168,2021-01-13,1610612752,NYK,L,22020,1610612751,BKN,0,0.45454545454545453,0.4,0.5,0.3333333333333333
0022000177,2021-01-14,1610612743,DEN,W,22020,1610612744,GSW,1,0.45454545454545453,0.3333333333333333,0.5454545454545454,0.5
0022000174,2021-01-14,1610612755,PHI,W,22020,1610612748,MIA,1,0.6666666666666666,0.8571428571428571,0.4444444444444444,0.25
0022000176,2021-01-14,1610612759,SAS,L,22020,1610612745,HOU,0,0.5454545454545454,0.25,0.3333333333333333,0.0
0022000175,2021-01-14,1610612761,TOR,W,22020,1610612766,CHA,1,0.2,0.3333333333333333,0.5,0.5
0022000178,2021-01-14,1610612757,POR,L,22020,1610612754,IND,0,0.6363636363636364,0.6,0.6363636363636364,0.75
0022000184,2021-01-15,1610612760,OKC,W,22020,1610612741,CHI,1,0.45454545454545453,0.0,0.36363636363636365,0.42857142857142855
0022000186,2021-01-15,1610612762,UTA,W,22020,1610612737,ATL,1,0.6363636363636364,0.3333333333333333,0.5,0.6
0022000182,2021-01-15,1610612749,MIL,W,22020,1610612742,DAL,1,0.6666666666666666,0.8333333333333334,0.6,0.5714285714285714
0022000180,2021-01-15,1610612738,BOS,W,22020,1610612753,ORL,1,0.7,0.75,0.5454545454545454,0.6
0022000188,2021-01-15,1610612758,SAC,L,22020,1610612746,LAC,0,0.4166666666666667,0.5,0.6666666666666666,0.6666666666666666
0022000187,2021-01-15,1610612747,LAL,W,22020,1610612740,NOP,1,0.7692307692307693,0.5,0.4,0.4
0022000181,2021-01-15,1610612739,CLE,W,22020,1610612752,NYK,1,0.4166666666666667,0.4,0.4166666666666667,0.5
0022000190,2021-01-16,1610612751,BKN,W,22020,1610612753,ORL,1,0.5384615384615384,0.5555555555555556,0.5,0.5
0022000195,2021-01-16,1610612757,POR,W,22020,1610612737,ATL,1,0.5833333333333334,0.5,0.45454545454545453,0.5
0022000193,2021-01-16,1610612763,MEM,W,22020,1610612755,PHI,1,0.45454545454545453,0.16666666666666666,0.6923076923076923,0.4
0022000191,2021-01-16,1610612761,TOR,W,22020,1610612766,CHA,1,0.2727272727272727,0.5,0.46153846153846156,0.42857142857142855
0022000192,2021-01-16,1610612748,MIA,L,22020,1610612765,DET,0,0.4,0.6,0.18181818181818182,0.0
0022000189,2021-01-16,1610612759,SAS,W,22020,1610612745,HOU,1,0.5,0.2,0.4,0.25
0022000198,2021-01-17,1610612742,DAL,L,22020,1610612741,CHI,0,0.5454545454545454,0.6666666666666666,0.3333333333333333,0.375
0022000202,2021-01-17,1610612746,LAC,W,22020,1610612754,IND,1,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.8
0022000200,2021-01-17,1610612743,DEN,L,22020,1610612762,UTA,0,0.5,0.42857142857142855,0.6666666666666666,0.75
0022000196,2021-01-17,1610612738,BOS,L,22020,1610612752,NYK,0,0.7272727272727273,0.8,0.38461538461538464,0.42857142857142855
0022000201,2021-01-17,1610612758,SAC,L,22020,1610612740,NOP,0,0.38461538461538464,0.4444444444444444,0.36363636363636365,0.3333333333333333
0022000207,2021-01-18,1610612757,POR,L,22020,1610612759,SAS,0,0.6153846153846154,0.5714285714285714,0.5384615384615384,0.7142857142857143
0022000208,2021-01-18,1610612763,MEM,W,22020,1610612756,PHX,1,0.5,0.2857142857142857,0.6363636363636364,0.5714285714285714
0022000209,2021-01-18,1610612751,BKN,W,22020,1610612749,MIL,1,0.5714285714285714,0.6,0.6923076923076923,0.5
0022000212,2021-01-18,1610612747,LAL,L,22020,1610612744,GSW,0,0.7857142857142857,0.5714285714285714,0.5,0.4
0022000210,2021-01-18,1610612761,TOR,W,22020,1610612742,DAL,1,0.3333333333333333,0.6,0.5,0.5
0022000203,2021-01-18,1610612752,NYK,W,22020,1610612753,ORL,1,0.42857142857142855,0.3333333333333333,0.46153846153846156,0.42857142857142855
0022000206,2021-01-18,1610612748,MIA,W,22020,1610612765,DET,1,0.36363636363636365,0.5,0.25,0.2
0022000205,2021-01-18,1610612737,ATL,W,22020,1610612750,MIN,1,0.4166666666666667,0.4,0.2727272727272727,0.2
0022000211,2021-01-18,1610612741,CHI,W,22020,1610612745,HOU,1,0.38461538461538464,0.25,0.36363636363636365,0.2
0022000214,2021-01-19,1610612762,UTA,W,22020,1610612740,NOP,1,0.6923076923076923,0.5,0.4166666666666667,0.42857142857142855
0022000213,2021-01-19,1610612743,DEN,W,22020,1610612760,OKC,1,0.46153846153846156,0.375,0.5,0.8333333333333334
0022000219,2021-01-20,1610612737,ATL,W,22020,1610612765,DET,1,0.46153846153846156,0.5,0.23076923076923078,0.16666666666666666
0022000216,2021-01-20,1610612739,CLE,W,22020,1610612751,BKN,1,0.46153846153846156,0.5,0.6,0.5
0022000220,2021-01-20,1610612761,TOR,L,22020,1610612748,MIA,0,0.38461538461538464,0.6666666666666666,0.4166666666666667,0.2
0022000218,2021-01-20,1610612755,PHI,W,22020,1610612738,BOS,1,0.6428571428571429,0.875,0.6666666666666666,0.6666666666666666
0022000221,2021-01-20,1610612750,MIN,L,22020,1610612753,ORL,0,0.25,0.3333333333333333,0.42857142857142855,0.375
0022000222,2021-01-20,1610612745,HOU,L,22020,1610612756,PHX,0,0.3333333333333333,0.5,0.5833333333333334,0.5
0022000217,2021-01-20,1610612754,IND,L,22020,1610612742,DAL,0,0.6153846153846154,0.5714285714285714,0.46153846153846156,0.4444444444444444
0022000223,2021-01-20,1610612744,GSW,W,22020,1610612759,SAS,1,0.5384615384615384,0.5714285714285714,0.5714285714285714,0.75
0022000224,2021-01-20,1610612746,LAC,W,22020,1610612758,SAC,1,0.7142857142857143,0.7142857142857143,0.35714285714285715,0.25
0022000226,2021-01-21,1610612749,MIL,L,22020,1610612747,LAL,0,0.6428571428571429,0.8571428571428571,0.7333333333333333,1.0
0022000228,2021-01-21,1610612744,GSW,L,22020,1610612752,NYK,0,0.5714285714285714,0.625,0.4666666666666667,0.5
0022000227,2021-01-21,1610612762,UTA,W,22020,1610612740,NOP,1,0.7142857142857143,0.6,0.38461538461538464,0.375
0022000238,2021-01-22,1610612756,PHX,L,22020,1610612743,DEN,0,0.6153846153846154,0.75,0.5,0.6
0022000234,2021-01-22,1610612761,TOR,W,22020,1610612748,MIA,1,0.35714285714285715,0.5714285714285714,0.46153846153846156,0.3333333333333333
0022000239,2021-01-22,1610612746,LAC,W,22020,1610612760,OKC,1,0.7333333333333333,0.75,0.46153846153846156,0.7142857142857143
0022000230,2021-01-22,1610612765,DET,L,22020,1610612745,HOU,0,0.21428571428571427,0.2857142857142857,0.3076923076923077,0.16666666666666666
0022000237,2021-01-22,1610612759,SAS,L,22020,1610612742,DAL,0,0.5333333333333333,0.3333333333333333,0.5,0.5
0022000232,2021-01-22,1610612739,CLE,W,22020,1610612751,BKN,1,0.5,0.5714285714285714,0.5625,0.4
0022000229,2021-01-22,1610612766,CHA,L,22020,1610612741,CHI,0,0.42857142857142855,0.5,0.42857142857142855,0.4444444444444444
0022000233,2021-01-22,1610612755,PHI,W,22020,1610612738,BOS,1,0.6666666666666666,0.8888888888888888,0.6153846153846154,0.5714285714285714
0022000236,2021-01-22,1610612750,MIN,L,22020,1610612737,ATL,0,0.23076923076923078,0.2857142857142857,0.5,0.42857142857142855
0022000241,2021-01-22,1610612758,SAC,W,22020,1610612752,NYK,1,0.3333333333333333,0.4,0.5,0.5555555555555556
0022000231,2021-01-22,1610612754,IND,W,22020,1610612753,ORL,1,0.5714285714285714,0.5,0.4666666666666667,0.4444444444444444
0022000245,2021-01-23,1610612741,CHI,L,22020,1610612747,LAL,0,0.4666666666666667,0.4,0.75,1.0
